domain	kb_version	paper_id	theory	paper_title	author	year	kb_file	doi	link
ep-core	v0.2	021	Relational Restoration Theory	Restoration in Nature: Beyond the Conventional Narrative	Terry Hartig	2021	relational_restoration_theory-hartig-2021-details.md		
ep-core	v0.2	009	Scannell & Gifford's Tripartite Framework of Place Attachment	Defining place attachment: A tripartite organizing framework	Scannell & Gifford	2010	scannell_gifford_tripartite_framework-scannell-2010-core.md.md		
ep-core	v0.2	009	Scannell & Gifford's Tripartite Framework of Place Attachment	Defining place attachment: A tripartite organizing framework	Scannell & Gifford	2010	scannell_gifford_tripartite_framework-scannell-2010-details.md.md		
ep-core	v0.2	001	Social Identity Approach to Environmental Psychology	A Social Identity Analysis of Climate Change and Environmental Attitudes and Behaviors: Insights and Opportunities	Fielding & Hornsey	2016	social_identity_analysis_environmental-fielding-2016-core.md		
ep-core	v0.2	002	Social Psychological Model of Crowding	A Social-Psychological Model of Human Crowding Phenomena	Daniel Stokols	1972	social_psychological_model_of_crowding_stokols_1972_core.md		
ep-core	v0.2	002	Social Psychological Model of Crowding	A Social-Psychological Model of Human Crowding Phenomena	Daniel Stokols	1972	social_psychological_model_of_crowding_stokols_1972_details.md		
ep-core	v0.2	024	Space Syntax	Space is the Machine: A Configurational Theory of Architecture	Bill Hillier	1996	space_syntax_hillier_1996_core.md		
ep-core	v0.2	012	Theory of Supportive Design	Effects of interior design on wellness: Theory and recent scientific research	Roger S. Ulrich	1991	theory_of_supportive_design_ulrich_1991_core.md		
ep-core	v0.2	012	Theory of Supportive Design	Effects of interior design on wellness: Theory and recent scientific research	Roger S. Ulrich	1991	theory_of_supportive_design_ulrich_1991_details.md		
ep-core	v0.2	008	Wicker's Behavior Setting Life Cycle Theory	Behavior settings reconsidered: Temporal stages, resources, internal dynamics, context	Allan W. Wicker	1987	wickers_behavior_setting_life_cycle_theory-wicker-1987-core.md		
ep-core	v0.2	008	Wicker's Behavior Setting Life Cycle Theory	Behavior settings reconsidered: Temporal stages, resources, internal dynamics, context	Allan W. Wicker	1987	wickers_behavior_setting_life_cycle_theory-wicker-1987-details.md		
